WMO_index,lat,lng,region_id
30967,49.9,115.75,11
29580,56.1666666667,95.2666666667,10
20871,71.8752777778,82.7055555556,10
35011,52.4333333333,53.1333333333,81
30745,52.5383333333,111.5577777778,31
31866,46.5333333333,138.3333333333,82
23625,63.65,62.1,6
31770,49.0,140.3,
31096,59.1555555556,149.035,
25206,67.45,153.7166666667,54
30471,55.8666666667,117.3666666667,11
25705,62.45,152.3166666667,63
29111,59.2166666667,78.2333333333,24
30777,52.2333333333,117.7,11
29149,58.6397222222,86.73,24
28825,53.6033333333,55.9336111111,83
31392,52.8,131.7166666667,38
29274,58.0908333333,93.1616666667,10
24802,61.7386111111,102.8041666667,10
30726,52.5516666667,107.1055555556,31
24136,68.6166666667,118.3333333333,54
29477,56.4969444444,93.2641666667,10
28655,55.2333333333,63.3166666667,4
24738,62.15,117.65,54
30198,58.0666666667,123.7166666667,54
23849,61.3438888889,73.4019444444,6
24790,62.7833333333,148.1666666667,63
31538,50.0666666667,132.1333333333,77
23376,66.9405555556,88.3708333333,10
29664,55.0888888889,90.8477777778,10
31931,44.8,133.0833333333,82
31445,51.45,128.1166666667,38
23802,61.6766666667,50.7805555556,8
23804,61.6772222222,50.7847222222,8
23975,60.3472222222,88.3636111111,10
23847,61.3,71.3,6
SKD,67.5,67.5,69
SAI,45.0,136.6000061035,82
SKV,54.0,123.9700012207,38
SRG,61.24,73.29,6
29541,56.0666666667,85.6166666667,76
25932,60.6833333333,160.4,
29594,55.95,98.0,14
25808,61.1333333333,152.3833333333,63
29832,53.8166666667,83.5833333333,1
30405,55.3833333333,101.0333333333,14
30824,51.5666666667,105.1166666667,31
25561,64.8666666667,174.4166666667,78
28493,56.9,74.3833333333,50
23552,64.9113888889,77.7708333333,69
29379,57.2,94.55,10
29956,52.8,89.9041666667,21
29605,55.2244444444,76.0188888889,49
28097,59.5833333333,73.2833333333,6
28264,58.05,65.35,12
23256,67.4666666667,78.7333333333,69
24967,60.4666666667,130.0,54
36078,51.0116666667,90.2116666667,58
23499,64.9416666667,98.8722222222,10
24771,62.7833333333,136.85,54
31909,45.0,136.6,82
32222,59.6,160.7333333333,
28383,57.5166666667,72.4,50
21824,71.5833333333,128.9166666667,54
31961,43.8833333333,131.9666666667,82
29557,55.7513888889,88.3,76
31754,48.6,137.05,77
29552,56.1166666667,88.5166666667,76
29456,56.5361111111,89.3166666667,10
28586,55.8666666667,72.2166666667,50
28275,58.15,68.25,35
29636,55.2247222222,84.385,49
29848,53.4616666667,85.9291666667,1
30127,58.2333333333,105.7333333333,14
31137,56.2833333333,131.1333333333,54
23662,63.9944444444,82.0475,69
31005,58.9666666667,126.2666666667,54
30439,55.1166666667,109.75,31
24671,63.95,135.8666666667,54
29430,56.5,84.9166666667,24
24843,61.9166666667,124.55,54
36103,52.4702777778,96.1191666667,58
30555,54.6166666667,113.1333333333,31
23711,62.7,56.1833333333,8
31655,49.45,136.5666666667,77
28748,54.0833333333,61.6166666667,33
28359,57.0666666667,64.6666666667,12
28712,54.5916666667,53.7138888889,83
30504,54.6,100.6333333333,14
31683,49.65,140.0833333333,77
30664,53.5333333333,115.6166666667,11
30811,51.7333333333,102.5333333333,31
24725,62.5333333333,111.2333333333,54
30576,54.4333333333,119.9,11
24507,64.2694444444,100.2166666667,10
36092,52.1447222222,93.9158333333,58
31913,45.2166666667,131.9833333333,
28255,58.05,63.6833333333,12
36061,52.25,87.1269444444,70
23472,65.7944444444,87.9888888889,10
23589,64.2077777778,93.7930555556,10
30173,59.0,119.8,54
31299,53.1,126.35,38
32071,50.7333333333,142.7166666667,53
